SIDN,District,HS,NumStudents,NumExams,NumPass,PerctPass
1403016,Clarendon 3,East Clarendon Middle-High,14,15,NA,NA
1601005,Darlington,Hartsville High,17,18,5,0.2778
1601030,Darlington,Darlington High,2,2,NA,NA
1601033,Darlington,"Mayo High For Math, Science, & Technology",22,26,16,0.6154
1703019,Dillon 3,Latta High,1,1,NA,NA
1704005,Dillon 4,Dillon High,5,5,NA,NA
1802006,Dorchester 2,Summerville High,359,482,265,0.5498
1802011,Dorchester 2,Alston Middle,1,1,NA,NA
1802012,Dorchester 2,Rollings Middle School of the Arts,1,1,NA,NA
1802016,Dorchester 2,Charles B. DuBose Middle,1,1,NA,NA
1802018,Dorchester 2,Oakbrook Middle,1,1,NA,NA
1802020,Dorchester 2,Fort Dorchester High,333,557,304,0.5458
1802027,Dorchester 2,Ashley Ridge High,437,824,441,0.5352
1804017,Dorchester 4,St. George Middle,1,2,NA,NA
1804019,Dorchester 4,Woodland High,84,106,18,0.1698
1901002,Edgefield,Strom Thurmond High,56,68,27,0.3971
1901009,Edgefield,Johnston-Edgefield-Trenton Middle,8,8,7,0.875
2001013,Fairfield,Fairfield Central High,47,49,12,0.2449
2101004,Florence 1,South Florence High,66,72,45,0.625
2101005,Florence 1,Williams Middle,1,1,NA,NA
2101006,Florence 1,Wilson High,52,54,16,0.2963
2101014,Florence 1,West Florence High,227,275,118,0.4291
2101050,Florence 1,Henry L. Sneed Middle,2,2,NA,NA
2103029,Florence 3,Lake City High,1,1,NA,NA
2103054,Florence 3,J. Paul Truluck Creative Arts and Science Magnet,23,27,8,0.2963
2201001,Georgetown,Andrews High,28,34,15,0.4412
2201004,Georgetown,Georgetown High,35,43,24,0.5581
2201025,Georgetown,Waccamaw High,187,257,177,0.6887
